FacilityName,StreetAddress
M Lopez Recycling Inc,2835 NORWOOD AVE
CR Recycling Co,5200 FRANKLIN BLVD
Recycling Zone Inc,181A CLARK AVE
Pacific Recycling,8700 GREENBACK LN
Gaytan Recycling,609 RIVERSIDE AVE
Pacific Recycling,301 4TH ST
Pacific Recycling,14301 SAN PABLO AVE
Go Green Recycling Salida,4931 Salida Blvd Unit A
M & R Recycling,12351 MARTELL RD
Silva Recycling,6401 Rio Linda Blvd
Modesto Go Green Recycling,2413 Yosemite Blvd
Valley Recycling Inc,19394 State Hwy 88
Valley Springs Recycling,494 N MAIN ST
Planet X Recycling,9075 E Hwy 140
Sonora Recycling,18647 Eagle Ridge Dr
Stacey's Recycling Center,1805 Richland Ave
M & R Recycling,313 PRESTON AVE
X-Change Recycling,2664 Jensen Ave
Sanchez Recycle LLC,22012 E MANNING AVE
Los Botis Recycling #2,5789 Anthony Ave
Ada's Recycling,640 E Boronda Rd
Ada's Recycling,7925 SAN MIGUEL CANYON RD
M Lopez Recycling Inc,400 EL CAMINO AVE
C & M Recycling,107 S 2nd St
Belen's Recycling,796 FRESNO ST
Devlin Road Transfer Station Buy Back,889 Devlin Rd
True Value,345 W Main St
Go Green Recycling Inc,2066 W Yosemite Ave
A & S Metals,1080 W BEACH ST
Salinas Recycling #2,1275 S MAIN ST
A & S Metals,644 E OLIVE AVE
Mondragon Recycling Center,5688 S ELM AVE
Osornio's Recycling Center,647 W El Monte Way #F
Sandoval Recycling,5471 7TH ST
Granda's Recycling,2101 W RUMBLE RD
Granda's Recycling,1393 E YOSEMITE AVE
Clarissa's Recycling,1022 FRONTAGE RD
Calwa Recycling,4545 E Church Ave
Ivan's Recycling,7825 LICHEN DR
M & R Recycling,741 S CHEROKEE LN
Valdez Recycling,9833 Kent St Ste 101
Ocean's Recycling LLC,9160 ELK GROVE FLORIN RD
N Leasing Company LLC,3911 Santa Rosa Ave
Novato Recycling Center,7576 REDWOOD BLVD
Gaytan Recycling,1001 SACRAMENTO AVE
Recology Davis,2727 2nd St
Santana Recycling,3740 BALSAM ST
Norcal Recycling,800 Church St
Brambila Recycling,370 SEBASTOPOL RD
San Jose Metals Inc,1032 N 10th St
Merced Recycling,455 15th St
ZARC International LLC,26 S Linden Ave
Pleasant Hill Recycling Center,1320 Galaxy Way
VALCORE Recycling,38 Sheridan St
Tri Ced Community Recycling,33377 Western Ave
Vaca Recycling,1193 E Monte Vista Ave Ste B
"Sanchez Cash For Cans, LLC",1468 44th Ave
Petaluma Recycling Center,315 2ND ST
Norcal Recycling,1811 DOUGLAS BLVD
Alejandra's Recycling Center,1424 COFFEE RD
Discount General Merchandise,370 B ST
Gaytan Recycling,6220 FRUITRIDGE ROAD
