FacilityName,StreetAddress
O’Reilly Auto Parts #3570,1988 Broadway Ave.
O’Reilly Auto Parts #3553,6500 Hembree Lane #225
O’Reilly Auto Parts #2608,7283 Mission Street
Oil Express,3500 Alhambra Ave
O’Reilly Auto Parts #2629,1810 Alum Rock Ave.
Pick-N-Pull/San Jose South,1675 Monterey Road
O’Reilly Auto Parts #2556,3095 Silver Creek Rd.
O’Reilly Auto Parts #2555,1160 N. 4th St.
O’Reilly Auto Parts #3199,1350 S. Park Victoria Dr. Ste.#20
AutoZone #3354,1204 N Capitol Avenue
AutoZone #2854,3880 S. El Camino Real
Bear Mountain Auto Parts & Service,31086 E Kings Canyon Road
AutoZone #3352,1820 Guerneville Rd.
AutoZone #3312,1475 Fitzgerald Drive
AutoZone #3338,32100 Alvarado Blvd.
SpeeDee Oil Change & Tune up,5564 Monterey Rd.
San Francisco Honda's Marina Service Center,2098 Lombard Street
O’Reilly Auto Parts #3585,2200 W. Monte Vista
O’Reilly Auto Parts #2585,8751 Elk Grove Blvd.
AutoZone #3331,17750 Hesperian Blvd.
O’Reilly Auto Parts #3555,8600 Brentwood Boulevard
AutoZone #5686,1448 N. El Dorado
O’Reilly Auto Parts #3567,10370 Twin Cities Rd.
O’Reilly Auto Parts #3608,6446 Pony Express Trail
O’Reilly Auto Parts #3467,12925 San Pablo Avenue
AutoZone #3303,1706 N. Texas St.
O’Reilly Auto Parts #3617,739 Herndon Ave. Ste# 101
AutoZone #3315,1122 West 11th Street
AutoZone #3369,4580 Alamaden Expressway
Speed Oil Change Center,2 Hegenberger Road
"Lathrop-Manteca Fire District, Station #31",800 East J Street
O’Reilly Auto Parts #3631,6720 Lone Tree Way
"Big Valley Ford, Inc.",3282 Auto Center Circle
Autozone #5325,979 E Manning Ave.
Speed Oil Change Center,10175 San Pablo Avenue
Sunset 76,1700 Noriega Street
O’Reilly Auto Parts #3487,1799 Story Rd.
O’Reilly Auto Parts #3100,1074 Lincoln Ave.
AutoZone #2885,94 N San Tomas Aquino Road
Oil Stop,8101 Madison Ave.
Speed Oil Change Center,5225 Shattuck Avenue #B
Speedee Oil Change & Tune Up,221 Peabody Road
AutoZone #3366,1623 A St
Jiffy Lube #3200,5316 W Spruce Ave
AutoZone #2889,5384 North Blackstone
Mercedes Benz of Stevens Creek,4500 Stevens Creek Blvd.
AutoNation Chrysler Dodge Jeep Ram,200 Automall Drive
Hayward Toyota,24773 Mission Blvd
AutoZone #3302,2160 University Avenue
Autozone #3307,320 El Camino Real
Autozone #3371,7200 Bancroft Avenue
"Razzari Nissan, Inc.",1675 Auto Center Drive
Chris's Engine and Auto Repair,4770 E 2nd St
Autozone #2842,9240 Elk Grove
O’Reilly Auto Parts #3637,1375 North Willow Avenue
O’Reilly Auto Parts #3654,497 Winton Parkway
Big Sky Enterprises,"401 W. Channel Rd, Suite C"
O’Reilly Auto Parts #3638,8416 Elk Grove-Florin Rd
O’Reilly Auto Parts #3641,1401 W. El Monte Way
Autozone #3342,3785 W. Shields
Heynneman European,3155 Kerner Blvd.
Autozone #3368,41094 Fremont Blvd.
Autozone #5690,6900 Chestnut Street
Towne Ford,1601 El Camino Real
O’Reilly Auto Parts #3635,"4425 W Ashlan Avenue, Suite 101"
Marlong INC. DBA SPEEDEE OIL CHANGE & CUSTOMER SER,44 Mission Drive
Autozone #5598,6100 Mack Road
O’Reilly Auto Parts #3657,193 Sunset Avenue
Marlong Speedee Oil Change & Tune-Up,635 Trade Zone Blvd
SpeeDee Oil Change/ Midas,2000 F Street
Speedee Oil Change & Tune-Up,736 Clovis Ave
O’Reilly Auto Parts #2923,399 East Leland Road
O’Reilly Auto Parts #3639,400 S. Norfolk Street
O’Reilly Auto Parts #3783,100 East Cypress Road
Ox Mountain Landfill,12310 San Mateo Road
O'Reilly Auto Parts #3760,353 Bayshore Boulevard
Jiffy Lube #2953,4616 Post Street
AutoZone #3361,4350 Golden Center Dr.
Autozone #3716,"5170 Foothills Blvd, Suite 150"
Speedco Truck Lube #944,1515 Hoff Drive
O’Reilly Auto Parts #3682,6117 N Figarden Drive
SpeeDee Oil Change & Tune-Up,245 W Louise
Speedee- Midas Oil Change & Tune-Up,216 W. Main St.
Smith Auto Parts,"1184 ""I"" Street"
Autozone #2852,1433 Fremont Blvd
AutoNation Honda Roseville,230 Automall Drive
SpeeDee Oil Change & Tune Up,2707 W. Monte Vista Avenue
O’Reilly Auto Parts #3670,2327 Blanding Avenue
Firestone #267487 Santa Cruz,510 Water Street
AutoZone #3333,1991 Sebastopol Road
AutoZone #3744,1541 North Sanborn Road
Jiffy Lube #3324,10340 Twin Cities Road
Boardwalk Auto Center,1 Bair Island Road
Greeley Hill True Value,6364 Greeley Hill Road
Pit Stop Auto Lube,1530 East F Street
Zoom Car Wash,4661 Quail Lakes Drive
Pro Lube Oil Change Center,3037 Sisk Rd
O’Reilly Auto Parts #3810,1551 W. Main Street
Pro Lube #102,808 S. Cherokee Lane
O’Reilly Auto Parts #3811,"1950 McHenry Ave,"
Zoom Car Wash,3434 E. Hammer Lane
AutoZone #3712,6340 Figarden Drive
TravelCenters of America,435 Winton Pkwy
Valley Fast Oil and Lube,1675 Piner Road
AutoZone #3719,1765 Mitchell Road
Lexus of Stevens Creek,300 Martin Avenue
Toyota of Clovis,895 W Shaw Avenue
Autozone 4005,3401 Yosemite Blvd
Lovelace Materials Recovery Facility & Transf,2323 East Lovelace Road
North County Recycling Center & Sanitary Land,17720 East Harney Lane
Recology Dixon - Recycling Center,302 N. 1st Street
San Joaquin County Household Hazardous,7850 South R.A. Bridgeford Street
O’Reilly Auto Parts #3827,12440 Jackson Gate Road
Autozone #3759,1520 Country Club Dr.
Livermore Airport,680 Terminal Circle
Autozone #4001,2615 South Chestnut Avenue
Jiffy Lube # 3245,1330 Holiday Lane
Alex Auto Diagnostics & Smog Check,650 Oller St.
Jiffy Lube #429,2900 Florin Road
Jiffy Lube #387,1640 Fulton Avenue
"Ramon's Tire and Auto Service, Inc.",261 Oller Street
Jiffy Lube #656,3424 Northgate Blvd.
Jiffy Lube #1463,3000 Capitol Ave
Jiffy Lube #2354,3447 Marconi Avenue
Jiffy Lube #1464,5464 Florin Rd
Jiffy Lube #1142,709 E. Bidwell Street
Jiffy Lube #2952,7405 Sheldon Road
Jiffy Lube #381,4160 Sunrise Blvd
Jiffy Lube #1138,10796 Olson Drive
AutoZone #4007,3000 Northgate Blvd
Jiffy Lube #0610,1030 El Camino Real
Jiffy Lube #0889,960 University Ave
Jiffy Lube #0606,2492 Castro Valley Blvd
Jiffy Lube #0510,4500 Clayton Rd
Jiffy Lube #1151,407 S Delaware St
Jiffy Lube #1166,39197 Cedar Blvd
Jiffy Lube #1347,6099 Geary Blvd
Jiffy Lube #1404,153 W. Jackson Street
Jiffy Lube #1802,640 Whipple Avenue
Jiffy Lube #0803,4300 Sonoma Blvd
Jiffy Lube #1403,2099 Camino Ramon
Jiffy Lube #2351,865 Abrego Street
Jiffy Lube #1328,3497 Stevens Crk Blvd
Jiffy Lube #2333,1902 N. Capitol Avenue
Jiffy Lube #2350,2415 Fremont Street
Davisville Express Lube,"2014 Lyndell Terrace, Suite A"
Jiffy Lube #2334,1705 Soquel Avenue
Jiffy Lube #2339,2795 El Camino Real
Jiffy Lube #2352,6305 Jarvis Avenue
Jiffy Lube #0296,1580 El Camino Real
Normandin Chrysler Jeep,900 Capitol Exp/Auto Mall
Jiffy Lube #0295,999 W El Camino Real
Jiffy Lube #0297,1387 Camden Ave
Jiffy Lube #0655,374 Miller Ave
Jiffy Lube #2314,535 W. Hamilton Ave
Jiffy Lube #2342,1141 W. El Camino Real
Jiffy Lube #1283,4201 Middlefield Rd
Jiffy Lube #2345,884 Blossom Hill Road
Piercey Toyota,950 Thompson Street
Jiffy Lube #1297,4195 El Camino Real
Jiffy Lube #1349,2030 Van Ness Avenue
Jiffy Lube #2346,1030 Saratoga Avenue
Jiffy Lube #1405,1219 Concord Avenue
Jiffy Lube #2332,2302 Almaden Road
Jiffy Lube #2335,2190 N. Broadway
Jiffy Lube #2321,3363 Mt. Diablo Blvd
Toyota 101,525 E. Bayshore Rd.
Canyon Fork Ace Hardware,29181 Auberry Road
Jiffy Lube #2344,3606 Camden Avenue
Pick-N-Pull Sacramento,7600 Stockton Blvd
Valvoline Instant Oil Change,5200 Squire Wells Way
Diablo Auto Care,15 Beta Court
Imperial Truck and Trailer Repair,6494 Florin Perkins Road
Jiffy Lube #3336,9170 Klagge Ct.
Foothill Auto Truck and Ag Parts Inc.,190 Park Blvd
Los Gatos Acura,16151 Los Gatos Blvd
Autozone #4014,6595 Commerce Drive
Young's Auto Center,4285 Fruitridge Road
Autozone #4012,189 Curtner
Valvoline Instant Oil Change,2225 W. Cleveland Avenue
AUTOZONE #5315,2612 North Blackstone Avenue
Harborbay 76 Service,3255 Mecartney Road
Red Carpet Quick Lube,3601 W. Shaw
Autozone #3709,1633 West Robertson BLVD
Red Carpet Quick Lube,4433 N. Blackstone
Autozone #3718,1511 First Street
O’Reilly Auto Parts #2741,1309 S. Winchester Blvd
Jiffy Lube #3142,9611 Auto Center Drive
Jiffy Lube #1875,7841 Sunrise Blvd
Jiffy Lube #2881,3470 Palmer Dr.
Firestone #321277 El Dorado Hills,390 Green Valley Road
Jiffy Lube #0608,2517 S El Camino Real
Jiffy Lube #1158,15015 Hesperian Blvd.
Jiffy Lube #1300,"2940 Bowers Ave,"
Jiffy Lube #2355,19480 Stevens Creek Blvd
Autozone #5515,698 Lincoln Avenue
Northbay Automotive,929 Petaluma Boulevard South
Elk Grove Automotive Inc.,8573 Elk Grove Blvd.
Lodi Automotive Supply,108 N. Sacramento St.
European Auto Repair Inc.,1573 Third Avenue
AutoZone #4011,3020 South Sonoma Blvd
AutoZone #4013,101 East Washington Street
AutoZone #4024,4408 Elverta Road
AutoZone #4026,901 El Camino Real
Performance Chevrolet,4811 Madison Avenue
Martens Chevrolet,1050 I Street
Mathews Harley-Davidson,548 Blackstone Ave
AutoZone #4034,3150 Fowler Avenue
Jiffy Lube #3390,1013 E. Monte Vista Ave
Fresno Lexus,777 W. Palmdon Drive
AutoZone #5602,2223 Fulton Avenue
Lucky's Express,22615 Ave 18 1/2
AutoZone #4028,7021 Main Street
AutoZone #5324,14923 Whitesbridge Road
AutoZone #4023,14270 San Pablo Avenue
Honker Cut Marine,11500 W 8 Mile Road
Cherry Pit,812 East Monte Vista Ave
AutoZone #4073,6212 Mission Street
Jiffy Lube #2330,228 N. Main Street
Jiffy Lube #1947,701 1st Street
Express Lube,1395 N. Willow Avenue
Lamorinda Auto Care Inc.,1455 Moraga Way
Alemany & Ocean 76 Auto Care,1798 Alemany Blvd
Sunnyside Sinclair,5605 E. Kings Canyon Road
AutoZone #4031,1114 Water Street
AutoZone #4048,16025 Monterey Road
AutoZone #4046,2277 Alum Rock Avenue
AutoZone #4020,8312 Elk Grove Florin Road
AutoZone #4090,3901 Santa Rita Road
Jiffy Lube,1701 Yosemite Blvd
Precise Auto dba Precise Chevron,1890 19th Avenue
Jiffy Lube #384,6709 Watt Ave.
OilStop,301 W. Kettleman Lane
Weatherford BMW,735 Ashby Avenue
The Toyota Scion Specialist,61 Willow Street
North Bay Ford Lincoln,1999 Soquel Ave.
City of Berkeley Marina,201 University Avenue
Timmons Auto & Truck Repair,2855 Contra Costa Blvd
AutoZone #5595,3609 Bradshaw Road
10 Minute Lube N' Oil,1620 Countryside Drive
AutoZone #3779,3512 Manthey Rd
Pro Alignment & Brake,2875 S. Winchester Blvd.
Dallas Shanks & Son's,40 Sycamore Ave
Diamond Mitsubishi Fuso,1505 N. 4th St.
Quality Tune Up #23,92 Serra Way
Quality Tune Up,3146 S. Bascom Ave.
BMW Motorcycles of San Francisco,489 6th St.
Devlin Road Recycling & Transfer Facility,889 Devlin Road
"Spiteri's Auto Service, Inc.",292 Old County Road
AutoZone #4084,1575 South Van Ness Avenue
Concord Chevrolet,1330 Concord Ave.
Petro Stopping Centers,28991 West Gonzaga
AutoZone #4045,6525 Fair Oaks Blvd
Mick's Automotive Inc.,1257 Thompson Ave. #D
AutoZone #4029,2009 Somersville Rd.
AutoZone #4071,14850 East 14th Street
AutoZone #4074,1641 N Street
Integrity Automotive Service,107 Whispering Pines Drive
Firestone #356612 Tracy,940 Central Avenue
Firestone #308529 Brentwood,6836 Lone Tree Way
Firestone #352686 Madison,5041 Madison Avenue
Acur-it Auto Repair,5677 Redwood Drive
BMW of Roseville,500 Automall Drive
Madera Chevrolet Toyota,1300 Country Club Drive
The Ford Store San Leandro,1111 Marina Boulevard
Bo's Imports Inc.,28184 Industrial Blvd
Mendota Smog & Repair,1415 9th Street
Pro 10 Minute Oil Change,1135 Tully Road
"County of Sacramento, North Area Recovery Station",4450 Roseville Road
Magnussen Lexus,5600 Cushing Parkway
Pick-N-Pull/ Newark #43,7400 Mowry Ave
Pick-N-Pull/ Richmond #12,1015 Market Ave
Pick-N-Pull/ San Jose North #40,1065 Commercial Street
Pick-N-Pull/ Oakland #70,8451 San Leandro Boulevard
Pick-N-Pull/ Antelope #81,8640 Antelope North Road
Pick-N-Pull/ Fresno #15,3230 E Jensen Ave
Pick-N-Pull/ Fairfield #11,4659 Air Base Parkway
"County of Sacramento, Kiefer Landfill",12701 Kiefer Blvd.
Jim's Cycles,2805 Chanticleer Avenue
"Recycling Industries, Inc.",4741 Watt Avenue
Mercedes-Benz of Marin,"540 Francisco Blvd., West"
Sacramento 49er Travel Plaza,2828 El Centro Road
AutoZone #4151,807 27th Street
AutoZone #4145,361 Roseville Square
AutoZone #5225,1500 E. Hatch Rd
AUTOZONE #3758,865 East Manning Avenue
Vasco Quick Lube,1443 N. Vasco Road
AutoZone #4042,900 North Street
AutoZone #4036,3828 East Main Street
Martinez Marina,7 North Court Street
Hopkins Acura of Fairfield,2459 Auto Mall Parkway
AutoZone # 4136,7609 Brentwood Boulevard
Autozone #4170,28150 Mission Blvd
AutoZone #6218,262 Reservation Road
Autozone #4159,5011 Laguna Blvd
Valvoline Instant Oil Change,6231 N. Blackstone Ave.
California Waste Recovery Systems,1149 Dunbar Road
O'Reilly Auto Parts #3915,12122 Yosemite Blvd
O'Reilly Auto Parts #4335,248 Sperry Ave
O'Reilly Auto Parts #3971,1620 Bell Lane
O'Reilly Auto Parts #2350,6425 Antelope Road
O'Reilly Auto Parts #4452,1810 Mitchell Rd
EDS 76 Station,2400 15th Street
O'Reilly Auto Parts #4429,3015 Monterey Rd
O'Reilly Auto Parts #3921,15196 W Whitesbridge Avenue
Golden State Peterbilt,4390 S. Bagley
Steve's Auto & Truck Parts,555 S. Main Street
O'Reilly Auto Parts #3114,1064 South White Road
O'Reilly Auto Parts #2760,40088 Highway 49
O'Reilly Auto Parts #3525,1915 El Camino Real West
O'Reilly Auto Parts #2624,1111 Branham Lane
O'Reilly Auto Parts #2754,1811 West San Carlos
O'Reilly Auto Parts #3469,18506 Prospect Road
N.O.D. Auto Service,130 Industrial Avenue Unit B
AutoZone #4096,769 North 13th Street
AutoZone #4128,2051 Monument Boulevard
AutoZone #6217,941 West March Lane
Fresno County Regional Permanent Household Hazardo,18950 West American Avenue
O'Reilly Auto Parts #4662,649 Paradise Road
O'Reilly Auto Parts #4697,2100 Standiford Avenue
O'Reilly Auto Parts #4719,15079 S. Harlan Road
Gumaro's Auto Repair Inc.,1705 Auto Center Drive
Express Oil Change,2700 El Portal Drive
AutoZone #6228,11201 Prospect Drive
Freeman Lexus,2845 Corby Avenue
Jiffy Lube #2761,200 East Yosemite
Jiffy Lube #2764,2679 First Street
Kevin L. Hinkley Auto Tech,5269 Crow Canyon Road
Napa Ford Lincoln,570 Soscol Avenue
Jiffy Lube #3736,649 Harbor Boulevard
Kings Express Tire and Lube,7891 Stockton Boulevard
LKQ All Engine Distributing,1314 E. North Avenue
Speedee Oil Change & Tune-Up,711 West Grant Line Road
Montezuma Fire District Station 182,7432 Lindbergh Street
City of Reedley,845 G Street
O'Reilly Auto Parts #4755,161 S. Highway 26
Turlock Chrysler Dodge Jeep Ram,1600 Auto Mall Drive
Autos International,2201 Commerce Avenue
AutoZone #6243,1717 W. San Carlos Avenue
Midas/Speedee,3741 Washington Boulevard
O'Reilly Auto Parts #2565,4511 Clayton Road
O'Reilly Auto Parts #3462,1033 The Alameda
O'Reilly Auto Parts #2578,7102 Santa Teresa Boulevard
O’Reilly Auto Parts #2559,816 Oakdale Road
O'Reilly Auto Parts #2592,1144 Geer Road
O'Reilly Auto Parts #2553,2620 California Street
Recology Vacaville Solano Recycling Center,855 1/2 Davis Street
Tilbury Auto Parts,1730 Jackson Avenue
King Island Marina,11530 W. Eight Mile Road
AutoZone #4166,5369 Fairside Way
AutoZone #6260,33 West Lake Avenue
AutoZone #3337,2335 El Camino Real
AutoZone #5312,3480 Palmer Drive
AutoZone #6254,1249 Elgin Avenue
O'Reilly Auto Parts #4847,1800 West Texas Street
Jiffy Lube #2763,1440 V Street
B & B Foreign Car Repair,1750 Tanen Street
Stevens Creek Chevrolet,3640 Stevens Creek Blvd
Kniesels Auto Service Centers,980 Riverside Ave
Kniesels Auto Service Centers,49 Bicentenniel Circle
O'Reilly Auto Parts #4864,1401 N Blackstone Ave
Gill Auto Group,1100 S Madera Ave
CarScience Auto Repair,4426 Peralta Boulevard
J & B Auto Sales,792 N Street
Sanford Firestone,705 Hickey Boulevard
AutoZone #3708,700 Derrick Avenue
AutoZone #6257,390 North Sunnyside
AutoZone #4099,34529 Alvarado-Niles Boulevard
Speed Oil Change Center,3601 Pearl Avenue
Speed Oil Change Center,1240 W El Camino Real
Speed Oil Change Center,2601 Decoto Road
Speed Oil Change Center,3478 Homestead Road
Ka-Pa Tires and Auto Services,4011 3rd Street
"Zaks Auto Shack, Inc.",24269 State Highway 108
Jiffy Lube #3748,1025 Powers Court
San Ramon Valley Import Center,"31 Beta Court, Suite G"
Clayton Quality Auto Services,3405 Clayton Road
AutoZone #3683,11950 Yosemite Boulevard
AutoZone #3675,8895 Greenback Lane
Morello Chevron Tire Services,2295 Morello Avenue
Walnut Creek Automotive,1855 D Contra Costa Boulevard
Virginia Hills Spirit Gas,6655 Alhambra Avenue
Leo's Tire Service,22055 W. Manning Avenue
"ToyotaPro, Inc.",1700 Concord Avenue
Valvoline Instant Oil Change,120 McHenry Avenue
O'Reilly Auto Parts #2572,15525 Los Gatos
"H & D Auto Repair, Inc.",1471 East 3rd Avenue
O'Reilly Auto Parts #2987,1051 1st Street
O'Reilly Auto Parts #2806,2660 Union Avenue
O'Reilly Auto Parts #4858,4907 Joe Howard Street
AutoZone #3668,1650 N. First Street
Castrol Premium Lube Express,3220 San Pablo Dam Road
O'Reilly Auto Parts #2557,1775 Willow Pass Road
Jiffy Lube #3814,6542 Fair Oaks Boulevard
Sundance Car Wash & Express Lube,420 Pioneer Avenue
Jiffy Lube #3765,7037 N. Blackstone Avenue
Saul's Smog and Repair,"2030 N Street, Suite B"
AutoZone #6164,2600 Crows Landing Road
Dublin Chevrolet Cadillac,4200 John Monego Ct.
Bert Williams & Sons,525 Northbay Dr.
Pick-n-Pull Auto Dismantlers,20856 Spence Road
O'Reilly Auto Parts #5620,16229 King Street
AutoZone #6281,531 S. Main Street
Channel Union 76,51424 Hwy 395
Imperial Truck Wash and Repair,2142 W Yosemite Ave
AutoZone #3695,3089 E Tulare Street
Siloe Community Tires LLC,"487 E. 6th Street, Suite B"
Faxon Garage,545 Faxon Avenue
AutoZone #5514,1488 Main St
Valvoline Instant Oil Change,549 Pacheco Blvd.
AutoZone #5590,3675 Elkhorn Blvd
A & A Tire Service & Auto Repair,1093 61st Street
AutoZone #4489,1125 Park Street
AutoZone #4488,779 E Monte Vista
Joe's Tire & Lube,4415 Howard Road
O'Reilly Auto Parts,420 Elkhorn Boulevard
Sullivan's Tire Pros,40122 Highway 49
Le's Auto Body & Engine Repair,1550 E. 12th Street
Affinity Truck Center,2707 S. East Ave
"E.F. Kludt & Sons, Inc.",1126 E. Pine Street
AutoZone #6299,5566 Cottle Road
O’Reilly Auto Parts #3183,1360 W Olive Ave
Calderon Tires Santa Cruz,309 Front St
"Woodside Auto & Tire, Inc.",333 Woodside Rd
AutoZone #5124,4036 Lone Tree Way
"Curt's Auto & RV Repair, Inc.",195 S. Pasadena Ave
AutoZone #4169,1812 Hillsdale Ave
Meineke Car Care Center #2397,3464 Foothill Blvd
Recology Davis,2727 2nd Street
San Joaquin County Fleet Services,444 S Wilson Way
T-Rex Auto Repair,2577 Elkhorn Blvd
Village West Marina,6649 Embarcadero Dr
AutoZone #6289,10047 Bruceville Rd
O'Reilly Auto Parts #5820,"2050 Town Center Plaza, B110"
Jiffy Lube #3808,3276 Grant Line Rd
Perfect Lube,1792 El Camino Real
AutoZone #3698,40059 Highway 41
O'Reilly Auto Parts #3508,361 E Washington St
Sonora Express Lube,14490 Mono Way
Sonora Express Lube #2,6 Pesce Way
O'Reilly Auto Parts #3532,1995 Sebastopol Road
Penske Used Truck Center,3025 Evergreen Ave
Livermore Ford Lincoln,2266 Kitty Hawk Road
Tiki Lagun Resort and Marina,12988 W McDonald Road
Gilroy Chevrolet Cadillac,6720 Auto Mall Court
O’Reilly Auto Parts #5817,1005 Park Blvd
"Sierra Marina, Inc.",45795 Tollhouse Road
O'Reilly Auto Parts #2937,560 Pacheco Blvd
Pick-N-Pull/Rocklin #3,6355 Pacific St (Taylor Rd.)
AutoZone #3323,400 S 2nd St
O’Reilly Auto Parts #3509,740 South Main Street
AutoZone #3367,5272 Monterey Highway
AutoZone #5310,652 Bailey Road
OILSTOP,8046 Orchard Loop Lane
Firestone #321305 Elk Grove,8055 Orchard Loop Lane
Walker Transfer Station,280 Offal Road
Mono County Department of Public Works,207 Jack Sawyer
AutoZone #4019,2225 Patterson Road
Downtown Auto Center,4145 Broadway Auto Row
AutoZone #4082,2510 Santa Rosa Avenue
Art's Automotive,2871 San Pablo Ave
Speedee Oil Change & Tuneup,1600 Sullivan Avenue
AutoZone #4188,3095 G Street
AutoZone #6219,456 Winton Parkway
AutoZone #6222,41339 Road 128
AutoZone #6258,10121 Folsom Boulevard
OilStop,330 N. Sunrise Avenue
Sugar Barge Marina,1440 Sugar Barge Marina
Jellystone's Tower Park Resort,14900 West SR 12
Quality Car Care,92 Serra Way
Monterey Regional Waste Management District,14201 Del Monte Blvd.
O'Reilly Auto Parts,360 4th Street
AutoZone #6205,117 Riley Way
AutoZone #4464,1350 Park Blvd
Holland Service,2203 San Pablo Ave
OilStop,2009 El Camino Real
OilStop,404 Saratoga Ave
OilStop,6111 Redwood Drive
OilStop,601 E Washington Street
OilStop,2190 Cleveland Ave
OilStop,5070 Redwood Drive
OilStop,1004 Lakeville Street
Oil Changer #804,2700 El Portal Drive
O’Reilly Auto Parts #2582,455-A Blossom Hill Road
Hillsdale Arco Auto Repair,880 E Hillsdale Blvd
Piercey Honda,920 Thompson Street
City of Elk Grove-Special Waste Collection Center,9255 Disposal Lane
Oil Changer #101,640 W Grand Ave
Oil Changer #105,1700 E 14th Street
Oil Changer #106,3418 Park Blvd
Oil Changer #108,2425 Lincoln Ave
Oil Changer #202,2762 El Camino Real
Oil Changers #203,780 San Antonio Rd
Oil Changer #204,889 El Camino Real
Oil Changer #301,7194 Village Pkwy
Oil Changer #302,26070 Mission Blvd
Oil Changer #303,2880 Skyline Blvd
Oil Changer #304,1247 Portola Ave
Oil Changer #401,3858 Railroad Ave
Oil Changer #403,2246 San Pablo Ave
Oil Changer #404,3144 Shane Drive
Oil Changer #405,131 N Wolfe Road
Oil Changer #601,994 W Winton Ave
Oil Changer #602,2985 Monterey Road
Oil Changer #605,4510 W Shaw Avenue
Oil Changer #607,816 Clovis Avenue
Oil Changer #611,944 Willow Road
Oil Changer #612,2171 San Ramon Valley Blvd
Oil Changer #618,4088 Thornton Avenue
Oil Changer #623,5308 Old Redwood Highway
Oil Changer #624,794 Admiral Callaghan Ln
Oil Changer #625,796 Oak Grove Road
Oil Changer #626,133 Vintage Way
O’Reilly Auto Parts #3495,"610 San Pablo Ave, Suite L"
AutoZone #4399,3455 Arden Ed.
Master Tech,60 W Main St.
Oil Changers #806,1360 B street
AutoNation Subaru Roseville,250 Automall Dr
Speedee Oil Change - Midas,1496 Freedome Blvd
AutoZone #6758,3801 Alhambra Ave.
Rolinda Farm Supply,9191 W Whitesbridge Ave.
O’Reilly Auto Parts #5908,2017 San Ramon Valley Blvd. Suite A
Tire Choice,1131 Holly Drive
Tire Choice,861 Marina Village Parkway
Tire Choice,5288 A Clayton Road
Tire Choice,3935 Alhambra Avenue
Tire Choice,431 San Pablo Avenue
Tire Choice,3430 Castro Valley Blvd
Tire Choice,6028 Dougherty Road
Tire Choice,1485 First Street
Tire Choice,3420 Stanley Blvd
Tire Choice,4216 Rosewood Drive
Ford Store Morgan Hill,17045 Condit Road
Wynns Motors,1216 Hillside Blvd.
AutoZone #6869,6071 Florin Rd.
Sunrise Auto Service,2800 San Bruno Ave.
Sunrise Auto Service,6050 Mission St.
Cervantes Auto,1417 4th Street
"Flag City Truck Services, Inc.",6386 W. Capitol Avenue
ATECH Auto Repair,5975 Mission St
M Yan Auto Repair,2579 Geneva Ave.
Pep Boys #6458,39165 Cedar Blvd.
Pep Boys #6480,1823 Soscol Ave
"Best Tires In Town 2, Inc",854 South Frankwood Ave
"Best Tires In Town, Inc",14660 East Manning Ave
Jackson Express Car Wash & Lube,106 French Bar Rd.
AutoZone #6722,1440 West Texas St.
Pick-n-Pull Auto Dismantlers,4075 Happy Lane
Kastner Honda,480 Soscol Ave
Autonation Acura Stevens Creek,4747 Stevens Creek Blvd
Tire Choice,5310 Scotts Valley Drive Unit C
Tire Choice,303 River Street
Tire Choice,311 Capitola Road Extension
Tire Choice,3002 Silver Creek Road
Tire Choice,317 First Street
Tire Choice,231 Mount Hermon Road
Tire Choice,577 University Ave
Tire Choice,5855 Cottle Rd
Tire Choice,970 Blossom Hill Road
Razzari Ford,1300 Auto Center Dr.
Greenwood Ford,300 Gateway Dr
Speedee Oil Change & Auto Service,1600 Sullivan ave
AutoZone #6239,1331 Rocking W Dr.
AutoZone #4277,4201 Norwood Ave
Mammoth Disposal Company,59 Commerce Dr.
Elite Truck Repair & Wash,10399 East Stockton Blvd.
Stevens Creek Nissan,4855 Stevens Creek Blvd
Clayton Auto Service,4746 Clayton Rd.
Mercedes-Benz of El Dorado Hills,1000 Mercedes Lane
Orinda Shell,9 Orinda Way
SpeeDee Oil Change & Auto Service,1343 Coffee Rd.
Maita Chevrolet,9650 Auto Center Dr.
Anderson Honda,1766 Embarcadero Rd.
BERKELEY HONDA AUTO CENTER,2777 Shattuck Ave.
Stevens Creek Cadillac,4355 Stevens Creek Blvd.
Stevens Creek Chevrolet,3640 Stevens Creek Blvd
Selma Kia,2775 Auto Mall Drive
Liberty Chevrolet,2755 Auto Mall Dr.
Elk Grove Kia,8480 Laguna Grove Dr.
Selma Chrysler Dodge Jeep Ram,2725 Auto Mall Dr.
Acura of Concord,1340 Concord Ave.
Tracy Chrysler Dodge Jeep Ram,3460 Naglee Rd.
Seaside Chrysler Dodge Jeep Ram,3 Geary Plaza
Fremont Chevrolet,5850 Cushing Parkway
Fremont Buick GMC Cadillac,5939 Automall Parkway
Dublin Nissan,6450 Dublin Ct.
Concord Nissan,1290 Concord Ave
Winn Kia of Fremont,5633 John Muir Dr.
Winn Volkswagen,39695 Balentine Dr.
Woodland Ford,346 Main St.
ProFleet Truck Lube,15453 North Thornton Rd.
ProFleet Truck Lube,24511 North Hwy 99
ProFleet Truck Lube,9050 Elkmont Way
Dublin Infiniti,4300 John Monego Ct.
Dublin Buick GMC,4400 John Monego Ct.
Woodland Motors,530 Quality Circle
AutoZone #6897,10336 Trinity Pkwy
AutoZone #5968,2043 Springs St.
